times,speed,dir
2022-08-12 16:30,0.524,345.2
2022-08-12 16:40,0.487,15.86
2022-08-12 16:50,0.452,359.75
2022-08-12 17:00,0.383,348.54
2022-08-12 17:10,0.455,9.61
2022-08-12 17:20,0.269,342.71
2022-08-12 17:30,0.308,338.68
2022-08-12 17:40,0.278,317.19
2022-08-12 17:50,0.302,331.74
2022-08-12 18:00,0.138,250.91
2022-08-12 18:10,0.226,284.1
2022-08-12 18:20,0.129,221.23
2022-08-12 18:30,0.229,208.47
2022-08-12 18:40,0.341,204.76
2022-08-12 18:50,0.421,212.78
2022-08-12 19:00,0.444,214.26
2022-08-12 19:10,0.497,195.88
2022-08-12 19:20,0.64,203
2022-08-12 19:30,0.383,206.5
2022-08-12 19:40,0.582,201.58
2022-08-12 19:50,0.718,200.99
